Entry	STRING
O14556	9606.ENSP00000222286;
P00558	9606.ENSP00000362413;
P04075	9606.ENSP00000496166;
P04406	9606.ENSP00000380070;
P05062	9606.ENSP00000497767;
P06733	9606.ENSP00000495530;
P06744	9606.ENSP00000405573;
P07205	9606.ENSP00000305995;
P07738	9606.ENSP00000376840;
P08237	9606.ENSP00000496597;
P09104	9606.ENSP00000437402;
P09972	9606.ENSP00000378731;
P13929	9606.ENSP00000324105;
P14618	9606.ENSP00000320171;
P15259	9606.ENSP00000297283;
P17858	9606.ENSP00000269848;
P18669	9606.ENSP00000359991;
P19367	9606.ENSP00000494664;
P30613	9606.ENSP00000339933;
P35557	9606.ENSP00000223366;
P52789	9606.ENSP00000290573;
P52790	9606.ENSP00000292432;
P60174	9606.ENSP00000229270;
Q01813	9606.ENSP00000370517;
Q02218	9606.ENSP00000388183;
Q2TB90	9606.ENSP00000346643;
Q96HY7	9606.ENSP00000263035;
Q9BRR6	9606.ENSP00000312250;
Q9ULD0	9606.ENSP00000363216;
A0A2R8Y891	
A6NNW6	9606.ENSP00000345555;
B3KXY9	
E9PB90	
F8VTQ3	
Q8N0Y7	9606.ENSP00000412189;
V9HVZ4	
A0A024R0Y5	
A0A024R4F1	
A0A024R782	
A0A0K0K1K1	
A0A0S2Z4A1	
A0A0S2Z4I1	
A0A2R8Y6G6	
A0A3B3IS80	
A0A5F9ZGW4	
A0A5F9ZHE0	
A0A7I2V3Z0	
A0A804F6T5	
A0A804F729	
A0A8C8PZE6	
A0A8V8TMY4	
A0A994J428	
A0A994J432	
A0A994J4A4	
A0A994J4P6	
A0A994J4Q0	
A0A994J4Q4	
A0A994J6R1	
A0A994J6R6	
A0A994J753	
A0A994J758	
A0A994J761	
A7LFL1	
A8K2U2	
A8K430	
A8K4Q9	
A8K7J7	
B3KRA9	
B3KT70	
B4DG62	
B4DUI5	
B4E0J9	
C9JH23	
C9JQD1	
E5RGZ4	
H0Y9N6	
O14943	
Q09LL6	
Q0D2Q6	
Q2QD09	
Q2TSD0	
Q53HE2	
Q53QX9	
Q53SG7	
Q53Y25	
Q59FD4	
Q59H08	
Q68E10	
Q6FHK8	
Q6FHU2	
Q6FHV6	
Q6P6D7	
Q7L2M7	
Q8NHT3	
Q96I60	
U3KPS5	
U3KPZ0	
U3KQF3	
V9HWB8	
V9HWK1	
A0A024QZ64	
A0A0J9YXP8	
A0A0J9YYH3	
A0A0M4FNU3	
A0A0S2Z4A8	
A0A1W6AYU6	
A0A2R8YEM5	
A0A2U3TZU2	
A0A4D6DDG8	
A0A5H1ZRQ0	
A0A8V8TMM5	
A0A8V8TNX9	
A0A977JB91	
A0A994J499	
A0A994J6Q7	
A4D2J6	
A4QMW8	
A4UCS8	
A4UCS9	
A4UCT0	
A8K3B0	
A8MVZ9	
B1APP6	
B1APP8	
B1AR62	
B3KNQ7	
B3KUR3	
B4DE36	
B4DJA4	
B4DKL5	
B4DMJ7	
B4DNK4	
B4DPM0	
B4DRT3	
B4DUJ6	
B4DVJ0	
B4E108	
B4E162	
B7Z1L5	
B7Z1N6	
B7Z1Y2	
B7Z1Z9	
B7Z3K7	
B7Z3K9	
B7Z9E5	
B7ZW15	
E2DRY6	
F5H0C8	
F8VP00	
F8VUB8	
F8VVE3	
F8VW30	
F8VX13	
F8VYK8	
F8VZI0	
F8VZQ1	
F8W6W2	
H0Y3Y3	
H3BQ34	
H3BQN4	
H3BT25	
H3BTJ2	
H3BTN5	
H3BU13	
H3BU78	
H3BUW1	
H7BXV0	
J3KPS3	9606.ENSP00000485952;
K7EKN2	
K7EM90	
K7EPM1	
K7EQ48	
L0HBA3	
L0R849	
M4PPE1	
M4PPE6	
M4PPI4	
M4PPI9	
M4PS72	
M4PS76	
M4PS83	
M4PT45	
M4Q000	
M4Q005	
M4Q009	
O00228	
Q16715	
Q16716	
Q49A78	
Q504U3	
Q53G35	
Q59GI2	
Q59GR5	
Q5VSR5	
Q6MZK4	
Q7KYX9	
Q7Z3R9	
Q7Z7Q6	
Q8WTZ9	
Q8WUW7	
Q9BSP4	
Q9NPL4	
U3KQP4	
U3KQQ1	
V9GY25	
V9GYV7	
V9HWN7	
A0A0J9YX90	
A0A0J9YXH9	
A0A0J9YXM3	
A0A2R8Y6C7	
A0A2R8YF08	
A0A7I2V5S1	
B4DDP8	
B4DG35	
F8VSF7	
H3BRS6	
H3BU35	
K7ELR7	
K7ENA0	
K7EP41	
K7EPY4	
K7ERC6	
K7ERK8	
Q69YR1	
