#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABRAXAS2	RBBP8	9606.ENSP00000298492	9606.ENSP00000382628	0	0	0	0	0.058	0.041	0	0.567	0.575
ABRAXAS2	BRCC3	9606.ENSP00000298492	9606.ENSP00000358474	0	0	0	0	0.101	0.991	0.900	0.992	0.999
ABRAXAS2	BABAM2	9606.ENSP00000298492	9606.ENSP00000343412	0	0	0	0	0.098	0.987	0.900	0.993	0.999
ABRAXAS2	BABAM1	9606.ENSP00000298492	9606.ENSP00000352408	0	0	0	0	0.067	0.977	0.900	0.992	0.999
ACTR8	RUVBL1	9606.ENSP00000336842	9606.ENSP00000318297	0	0	0	0	0.044	0.916	0.900	0.821	0.998
ACTR8	SPC24	9606.ENSP00000336842	9606.ENSP00000465075	0	0	0	0	0	0	0	0.423	0.423
ACTR8	CDC23	9606.ENSP00000336842	9606.ENSP00000378350	0	0	0	0	0.155	0	0	0.369	0.444
ACTR8	CETN2	9606.ENSP00000336842	9606.ENSP00000359300	0	0	0	0	0.062	0.126	0.400	0.053	0.472
ACTR8	INO80	9606.ENSP00000336842	9606.ENSP00000497609	0	0	0	0	0.138	0.849	0.900	0.458	0.992
ANAPC1	CDC6	9606.ENSP00000339109	9606.ENSP00000209728	0	0	0	0	0.181	0	0.400	0.478	0.721
ANAPC1	AURKA	9606.ENSP00000339109	9606.ENSP00000216911	0	0	0	0	0.086	0.083	0.500	0.183	0.612
ANAPC1	OIP5	9606.ENSP00000339109	9606.ENSP00000220514	0	0	0	0	0.081	0	0	0.412	0.437
ANAPC1	FBXO5	9606.ENSP00000339109	9606.ENSP00000229758	0	0	0	0	0.083	0.960	0	0.198	0.969
ANAPC1	MAD2L2	9606.ENSP00000339109	9606.ENSP00000235310	0	0	0	0	0.048	0	0.650	0.092	0.671
ANAPC1	CCNA1	9606.ENSP00000339109	9606.ENSP00000255465	0	0	0	0	0	0.075	0.500	0.295	0.645
ANAPC1	CCNB1	9606.ENSP00000339109	9606.ENSP00000256442	0	0	0	0	0.137	0	0.900	0.286	0.933
ANAPC1	ANAPC5	9606.ENSP00000339109	9606.ENSP00000261819	0	0	0	0	0.185	0.999	0.900	0.944	0.999
ANAPC1	CDK2	9606.ENSP00000339109	9606.ENSP00000266970	0	0	0	0	0.067	0.429	0.650	0.259	0.843
ANAPC1	HAUS1	9606.ENSP00000339109	9606.ENSP00000282058	0	0	0	0	0.068	0	0	0.429	0.445
ANAPC1	BUB1B	9606.ENSP00000339109	9606.ENSP00000287598	0	0	0	0	0.100	0.995	0.720	0.451	0.999
ANAPC1	CCNB2	9606.ENSP00000339109	9606.ENSP00000288207	0	0	0	0	0.137	0	0.900	0.503	0.953
ANAPC1	MAD2L1	9606.ENSP00000339109	9606.ENSP00000296509	0	0	0	0	0.103	0.927	0.650	0.682	0.991
ANAPC1	PLK1	9606.ENSP00000339109	9606.ENSP00000300093	0	0	0	0	0.060	0.217	0.500	0.396	0.748
